Epoch,it,loss.item,epoch_loss,it_lap,epoch_lap
0,2,0.013864212669432163,0.03473414666950703,0.36312007904052734,1.0816302299499512
1,2,0.010159009136259556,0.03418326936662197,0.3495948314666748,1.0622913837432861
2,2,0.012021960690617561,0.03372429870069027,0.3568239212036133,1.0745470523834229
3,2,0.011000181548297405,0.03344382531940937,0.35272741317749023,1.063889503479004
4,2,0.011136696673929691,0.033207948319613934,0.34937334060668945,1.060197114944458
5,2,0.010886788368225098,0.03302084840834141,0.3539574146270752,1.0596511363983154
6,2,0.009386151097714901,0.03289129585027695,0.357250452041626,1.0607178211212158
7,2,0.009511849842965603,0.032776108011603355,0.3587503433227539,1.0771803855895996
8,2,0.011095919646322727,0.032680354081094265,0.3553175926208496,1.0660881996154785
9,2,0.010881088674068451,0.0326019087806344,0.3597757816314697,1.0755560398101807
10,2,0.010106677189469337,0.03254211135208607,0.35733819007873535,1.075953722000122
11,2,0.012200817465782166,0.03247780445963144,0.35625720024108887,1.0740768909454346
12,2,0.012709667906165123,0.032425195910036564,0.3593251705169678,1.078993797302246
13,2,0.010417617857456207,0.032390168868005276,0.34818077087402344,1.0632426738739014
14,2,0.013089568354189396,0.03233929816633463,0.36079978942871094,1.0803678035736084
15,2,0.008678430691361427,0.03230746276676655,0.35576653480529785,1.0706605911254883
16,2,0.01034243032336235,0.03227134421467781,0.3573122024536133,1.0762379169464111
17,2,0.009861703962087631,0.03223908506333828,0.35762739181518555,1.0670177936553955
18,2,0.010175399482250214,0.03220833279192448,0.35866284370422363,1.0631296634674072
19,2,0.011901621706783772,0.03218249883502722,0.3543891906738281,1.0732698440551758
20,2,0.01015174575150013,0.03215943370014429,0.35547852516174316,1.0681865215301514
21,2,0.01025878731161356,0.03213358111679554,0.35896921157836914,1.0716559886932373
22,2,0.011045378632843494,0.032112701795995235,0.3605372905731201,1.072629451751709
23,2,0.01107546966522932,0.03209100663661957,0.35669493675231934,1.0619888305664062
24,2,0.01100736204534769,0.03207163978368044,0.35657453536987305,1.0692336559295654
25,2,0.0105082793161273,0.032052828930318356,0.357219934463501,1.0689826011657715
26,2,0.00926433876156807,0.03203631192445755,0.34615540504455566,1.0578923225402832
27,2,0.011658594943583012,0.03201977349817753,0.35889577865600586,1.073601245880127
28,2,0.010042326524853706,0.03200491052120924,0.3581728935241699,1.0710201263427734
29,2,0.011398411355912685,0.03198758792132139,0.3546140193939209,1.0658848285675049
30,2,0.010847627185285091,0.03197383228689432,0.3550889492034912,1.0656495094299316
31,2,0.009945305995643139,0.03196191322058439,0.35416364669799805,1.0647647380828857
32,2,0.010733976028859615,0.031946007162332535,0.35904598236083984,1.0720441341400146
33,2,0.010364707559347153,0.03193289693444967,0.357313871383667,1.070507287979126
34,2,0.01035242434591055,0.03192107379436493,0.35977935791015625,1.071044683456421
35,2,0.010383675806224346,0.03190945368260145,0.35834217071533203,1.0708441734313965
36,2,0.0119995828717947,0.031897599808871746,0.35811495780944824,1.0730767250061035
37,2,0.011174247600138187,0.031886025331914425,0.3574070930480957,1.0723035335540771
38,2,0.010427750647068024,0.03187533374875784,0.3578834533691406,1.0748918056488037
39,2,0.01012242678552866,0.031863875687122345,0.3580813407897949,1.0731627941131592
40,2,0.01141355000436306,0.031853580847382545,0.3587765693664551,1.0689384937286377
41,2,0.010073890909552574,0.03184503596276045,0.35801076889038086,1.069519281387329
42,2,0.013038752600550652,0.031834290362894535,0.35625123977661133,1.0678777694702148
43,2,0.011045774444937706,0.0318261357024312,0.3563265800476074,1.0722453594207764
